rozmiar tablicy	średnia liczba porównań
10	4.910000
20	9.780000
30	17.860000
40	20.650000
50	24.210000
60	32.380000
70	37.500000
80	42.470000
90	43.960000
100	51.260000
110	62.050000
120	62.400000
130	68.160000
140	62.300000
150	71.130000
160	80.050000
170	85.870000
180	90.700000
190	99.230000
200	103.910000
210	99.820000
220	121.090000
230	111.860000
240	104.370000
250	120.940000
260	135.260000
270	131.310000
280	146.960000
290	140.040000
300	154.840000
310	173.030000
320	156.160000
330	165.400000
340	173.910000
350	154.440000
360	176.070000
370	185.140000
380	197.470000
390	177.140000
400	204.360000
410	201.190000
420	201.300000
430	237.220000
440	238.690000
450	246.650000
460	232.600000
470	227.460000
480	249.340000
490	238.970000
500	266.830000
510	264.350000
520	271.300000
530	277.790000
540	259.990000
550	270.440000
560	293.290000
570	279.200000
580	279.260000
590	279.430000
600	283.590000
610	301.710000
620	311.940000
630	332.150000
640	301.960000
650	329.820000
660	324.470000
670	311.200000
680	331.730000
690	329.430000
700	365.010000
710	364.210000
720	368.700000
730	327.090000
740	367.250000
750	362.130000
760	399.280000
770	425.750000
780	430.930000
790	399.790000
800	375.680000
810	408.840000
820	418.140000
830	417.010000
840	388.130000
850	439.730000
860	441.530000
870	480.140000
880	398.210000
890	453.890000
900	449.210000
910	487.720000
920	507.790000
930	467.540000
940	494.950000
950	415.580000
960	481.730000
970	456.520000
980	491.400000
990	489.310000
1000	469.050000
