"","PC_K30_1.2_Me.degree","PC_K30_1.2_Me.betweenness","PC_K30_1.2_Me.closeness","PC_K30_1.2_Me.eigenCentrality","PC_K30_1.2_Me.nNeg","PC_K30_1.2_Me.nPos","PC_K30_1.2_Me.mutualInfo","PC_K30_1.2_Me.variance","PC_K30_1.2_Me.partialVar","PC_K70_1.2_Me.degree","PC_K70_1.2_Me.betweenness","PC_K70_1.2_Me.closeness","PC_K70_1.2_Me.eigenCentrality","PC_K70_1.2_Me.nNeg","PC_K70_1.2_Me.nPos","PC_K70_1.2_Me.mutualInfo","PC_K70_1.2_Me.variance","PC_K70_1.2_Me.partialVar"
"ENSSSCG00000000978",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985127,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.0013266555139397,1.00132753591063,1
"ENSSSCG00000001616",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144475803,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551393992,1.00132753591063,1
"ENSSSCG00000001620",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144475804,1.00189653760157,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,18,10,0.00119871418102615,1.00119943292601,1
"ENSSSCG00000001906",37,27.8181818181818,0.0175438596491228,0.795062968303194,24,13,0.00189264470441671,1.00189443688687,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551394035,1.00132753591063,1
"ENSSSCG00000002385",26,0,0.0147058823529412,0.642717371978386,12,14,0.00132675271687781,1.00132763324262,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418102939,1.00119943292601,1
"ENSSSCG00000002720",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.001971058799868,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.0013266555139384,1.00132753591063,1
"ENSSSCG00000002962",44,32.3181818181818,0.02,0.999999999999999,17,27,0.00157664841715403,1.00157789198072,1,28,1.1991341991342,0.0151515151515152,0.656366593574615,11,17,0.00119871418101797,1.00119943292602,1
"ENSSSCG00000003368",28,0.86218487394958,0.0151515151515152,0.667802850824943,20,8,0.00189474144477372,1.00189653760157,1,45,38.475,0.0204081632653061,0.999999999999999,19,26,0.00113084316785,1.00113148281208,1
"ENSSSCG00000004013",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985697,1.00197300261317,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,18,10,0.00119871418101538,1.00119943292602,1
"ENSSSCG00000006820",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985698,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,24,4,0.00132665551392763,1.00132753591063,1
"ENSSSCG00000007239",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144477032,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551392763,1.00132753591063,1
"ENSSSCG00000007508",44,32.3181818181818,0.02,1,17,27,0.00157664841714768,1.00157789198072,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551392763,1.00132753591063,1
