"","PC_S70_2.3_Ec.degree","PC_S70_2.3_Ec.betweenness","PC_S70_2.3_Ec.closeness","PC_S70_2.3_Ec.eigenCentrality","PC_S70_2.3_Ec.nNeg","PC_S70_2.3_Ec.nPos","PC_S70_2.3_Ec.mutualInfo","PC_S70_2.3_Ec.variance","PC_S70_2.3_Ec.partialVar","PC_SNB_2.3_Ec.degree","PC_SNB_2.3_Ec.betweenness","PC_SNB_2.3_Ec.closeness","PC_SNB_2.3_Ec.eigenCentrality","PC_SNB_2.3_Ec.nNeg","PC_SNB_2.3_Ec.nPos","PC_SNB_2.3_Ec.mutualInfo","PC_SNB_2.3_Ec.variance","PC_SNB_2.3_Ec.partialVar"
"ENSSSCG00000000138",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669441443,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.59569520781951,23,18,0.00518017766170745,1.00519361797973,1
"ENSSSCG00000001910",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163504862,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315465,1.00557608553682,1
"ENSSSCG00000002385",72,6.52186389059916,0.0135135135135135,1,37,35,0.000275725420953605,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315465,1.00557608553682,1
"ENSSSCG00000002812",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669443643,1.00023209960037,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205374312,1.00440791847218,1
"ENSSSCG00000002815",72,6.52186389059916,0.0135135135135135,1,37,35,0.000275725420958221,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.00518017766171069,1.00519361797973,1
"ENSSSCG00000002954",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509263,1.00027995634396,1,70,74.2,0.0131578947368421,1,34,36,0.00439823205374434,1.00440791847218,1
"ENSSSCG00000002993",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509263,1.00027995634397,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766171144,1.00519361797974,1
"ENSSSCG00000003146",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509261,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672316328,1.00557608553682,1
"ENSSSCG00000003211",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420958661,1.00027576343671,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205373183,1.00440791847218,1
"ENSSSCG00000003466",41,0,0.00952380952380952,0.578860893974514,19,22,0.000171200732083642,1.00017121538776,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169329,1.00519361797973,1
