"","x"
"1","ENSSSCG00000000906"
"2","ENSSSCG00000001906"
"3","ENSSSCG00000002882"
"4","ENSSSCG00000003212"
"5","ENSSSCG00000003225"
"6","ENSSSCG00000003482"
"7","ENSSSCG00000004119"
"8","ENSSSCG00000004760"
"9","ENSSSCG00000006399"
"10","ENSSSCG00000006579"
"11","ENSSSCG00000007508"
"12","ENSSSCG00000007968"
"13","ENSSSCG00000008574"
"14","ENSSSCG00000009209"
"15","ENSSSCG00000009558"
"16","ENSSSCG00000009616"
"17","ENSSSCG00000012909"
"18","ENSSSCG00000012993"
"19","ENSSSCG00000013604"
"20","ENSSSCG00000014110"
"21","ENSSSCG00000014818"
"22","ENSSSCG00000015049"
"23","ENSSSCG00000015091"
"24","ENSSSCG00000015126"
"25","ENSSSCG00000016504"
"26","ENSSSCG00000016728"
"27","ENSSSCG00000017433"
"28","ENSSSCG00000017458"
"29","ENSSSCG00000017490"
"30","ENSSSCG00000023018"
"31","ENSSSCG00000024158"
"32","ENSSSCG00000024892"
"33","ENSSSCG00000024917"
"34","ENSSSCG00000025128"
"35","ENSSSCG00000026345"
"36","ENSSSCG00000026427"
"37","ENSSSCG00000026680"
"38","ENSSSCG00000029503"
"39","ENSSSCG00000029752"
"40","ENSSSCG00000029763"
"41","ENSSSCG00000029960"
"42","ENSSSCG00000030561"
"43","ENSSSCG00000030903"
"44","ENSSSCG00000031345"
"45","ENSSSCG00000032407"
"46","ENSSSCG00000034211"
"47","ENSSSCG00000035445"
"48","ENSSSCG00000035594"
"49","ENSSSCG00000035785"
"50","ENSSSCG00000036403"
"51","ENSSSCG00000036844"
"52","ENSSSCG00000037562"
"53","ENSSSCG00000038067"
"54","ENSSSCG00000038768"
"55","ENSSSCG00000038991"
"56","ENSSSCG00000040035"
"57","ENSSSCG00000040663"
"58","ENSSSCG00000045348"
"59","ENSSSCG00000050178"
"60","ENSSSCG00000050498"
"61","ENSSSCG00000051187"
