"","x"
"1","ENSSSCG00000000002"
"2","ENSSSCG00000000025"
"3","ENSSSCG00000000110"
"4","ENSSSCG00000000130"
"5","ENSSSCG00000000133"
"6","ENSSSCG00000000136"
"7","ENSSSCG00000000138"
"8","ENSSSCG00000000175"
"9","ENSSSCG00000000195"
"10","ENSSSCG00000000262"
"11","ENSSSCG00000000649"
"12","ENSSSCG00000000730"
"13","ENSSSCG00000000734"
"14","ENSSSCG00000000970"
"15","ENSSSCG00000000978"
"16","ENSSSCG00000001156"
"17","ENSSSCG00000001248"
"18","ENSSSCG00000001341"
"19","ENSSSCG00000001561"
"20","ENSSSCG00000001566"
"21","ENSSSCG00000001570"
"22","ENSSSCG00000001620"
"23","ENSSSCG00000001696"
"24","ENSSSCG00000001698"
"25","ENSSSCG00000001725"
"26","ENSSSCG00000001904"
"27","ENSSSCG00000001910"
"28","ENSSSCG00000001938"
"29","ENSSSCG00000001952"
"30","ENSSSCG00000001985"
"31","ENSSSCG00000001987"
"32","ENSSSCG00000002013"
"33","ENSSSCG00000002015"
"34","ENSSSCG00000002033"
"35","ENSSSCG00000002041"
"36","ENSSSCG00000002385"
"37","ENSSSCG00000002476"
"38","ENSSSCG00000002642"
"39","ENSSSCG00000002668"
"40","ENSSSCG00000002722"
"41","ENSSSCG00000002811"
"42","ENSSSCG00000002812"
"43","ENSSSCG00000002815"
"44","ENSSSCG00000002838"
"45","ENSSSCG00000002864"
"46","ENSSSCG00000002887"
"47","ENSSSCG00000002954"
"48","ENSSSCG00000002962"
"49","ENSSSCG00000002993"
"50","ENSSSCG00000003006"
"51","ENSSSCG00000003068"
"52","ENSSSCG00000003079"
"53","ENSSSCG00000003088"
"54","ENSSSCG00000003136"
"55","ENSSSCG00000003137"
"56","ENSSSCG00000003146"
"57","ENSSSCG00000003149"
"58","ENSSSCG00000003165"
"59","ENSSSCG00000003189"
"60","ENSSSCG00000003197"
"61","ENSSSCG00000003211"
"62","ENSSSCG00000003217"
"63","ENSSSCG00000003238"
"64","ENSSSCG00000003346"
"65","ENSSSCG00000003465"
"66","ENSSSCG00000003466"
"67","ENSSSCG00000003468"
"68","ENSSSCG00000003472"
"69","ENSSSCG00000003479"
"70","ENSSSCG00000003573"
"71","ENSSSCG00000003608"
"72","ENSSSCG00000003628"
"73","ENSSSCG00000003775"
"74","ENSSSCG00000003788"
"75","ENSSSCG00000003876"
"76","ENSSSCG00000003900"
"77","ENSSSCG00000003905"
"78","ENSSSCG00000003918"
"79","ENSSSCG00000004013"
"80","ENSSSCG00000004082"
"81","ENSSSCG00000004119"
"82","ENSSSCG00000004199"
"83","ENSSSCG00000004207"
"84","ENSSSCG00000004222"
"85","ENSSSCG00000004237"
"86","ENSSSCG00000004762"
"87","ENSSSCG00000004779"
"88","ENSSSCG00000004834"
"89","ENSSSCG00000005180"
"90","ENSSSCG00000005284"
"91","ENSSSCG00000005308"
"92","ENSSSCG00000005349"
"93","ENSSSCG00000005382"
"94","ENSSSCG00000005399"
"95","ENSSSCG00000005452"
"96","ENSSSCG00000005486"
"97","ENSSSCG00000005524"
"98","ENSSSCG00000005626"
"99","ENSSSCG00000005657"
"100","ENSSSCG00000005719"
"101","ENSSSCG00000005723"
"102","ENSSSCG00000005971"
"103","ENSSSCG00000006165"
"104","ENSSSCG00000006250"
"105","ENSSSCG00000006266"
"106","ENSSSCG00000006376"
"107","ENSSSCG00000006392"
"108","ENSSSCG00000006466"
"109","ENSSSCG00000006564"
"110","ENSSSCG00000006581"
"111","ENSSSCG00000006587"
"112","ENSSSCG00000006604"
"113","ENSSSCG00000006620"
"114","ENSSSCG00000006634"
"115","ENSSSCG00000006745"
"116","ENSSSCG00000006748"
"117","ENSSSCG00000007073"
"118","ENSSSCG00000007077"
"119","ENSSSCG00000007116"
"120","ENSSSCG00000007135"
"121","ENSSSCG00000007239"
"122","ENSSSCG00000007240"
"123","ENSSSCG00000007261"
"124","ENSSSCG00000007286"
"125","ENSSSCG00000007336"
"126","ENSSSCG00000007439"
"127","ENSSSCG00000007491"
"128","ENSSSCG00000007527"
"129","ENSSSCG00000007577"
"130","ENSSSCG00000007649"
"131","ENSSSCG00000007721"
"132","ENSSSCG00000007722"
"133","ENSSSCG00000007744"
"134","ENSSSCG00000007765"
"135","ENSSSCG00000007917"
"136","ENSSSCG00000007949"
"137","ENSSSCG00000007973"
"138","ENSSSCG00000008044"
"139","ENSSSCG00000008193"
"140","ENSSSCG00000008310"
"141","ENSSSCG00000008517"
"142","ENSSSCG00000008583"
"143","ENSSSCG00000008686"
"144","ENSSSCG00000008722"
"145","ENSSSCG00000008836"
"146","ENSSSCG00000008867"
"147","ENSSSCG00000008874"
"148","ENSSSCG00000008899"
"149","ENSSSCG00000008987"
"150","ENSSSCG00000009053"
"151","ENSSSCG00000009245"
"152","ENSSSCG00000009502"
"153","ENSSSCG00000009566"
"154","ENSSSCG00000009589"
"155","ENSSSCG00000009616"
